Age,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Unnamed: 10,Unnamed: 11,Product_Rating,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Customer_Satisfaction,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Shipping_Preference
28.0,,,,,,,Baby Products,345.53926139967064,12.0,,,5,,,,,5,,,,,,,,No Preference
42.0,,,,,,,Gardening & Outdoors,210.53250858044515,9.0,,,5,,,,,8,,,,,,,,Express
46.0,,,,,,,Groceries,39.98035514557116,5.0,,,2,,,,,7,,,,,,,,Standard
38.0,,,,,,,Animal Feed,226.50640704554007,5.0,,,3,,,,,7,,,,,,,,No Preference
32.0,,,,,,,Electronics,198.39636450502508,6.0,,,4,,,,,8,,,,,,,,No Preference
20.0,,,,,,,Gardening & Outdoors,194.1278992498432,6.0,,,2,,,,,2,,,,,,,,Express
32.0,,,,,,,Sports & Outdoors,259.8248299006381,5.0,,,3,,,,,3,,,,,,,,No Preference
42.0,,,,,,,Furniture,214.5488325153061,6.0,,,3,,,,,1,,,,,,,,Express
33.0,,,,,,,Gardening & Outdoors,197.3134897450395,5.0,,,1,,,,,8,,,,,,,,Standard
39.0,,,,,,,Health Supplements,115.14304492089511,10.0,,,3,,,,,8,,,,,,,,No Preference
30.0,,,,,,,Furniture,213.3390847489885,8.0,,,1,,,,,8,,,,,,,,Standard
38.0,,,,,,,Electronics,96.89946124399069,7.0,,,1,,,,,7,,,,,,,,Standard
30.0,,,,,,,Food & Beverages,203.79204230728521,2.0,,,4,,,,,9,,,,,,,,No Preference
46.0,,,,,,,Furniture,404.437387352878,1.0,,,4,,,,,3,,,,,,,,Standard
33.0,,,,,,,Health Care,125.50774889527803,3.0,,,4,,,,,2,,,,,,,,No Preference
28.0,,,,,,,Sports & Outdoors,441.31311809752265,2.0,,,2,,,,,9,,,,,,,,Standard
19.0,,,,,,,Health Supplements,230.20906373218406,6.0,,,2,,,,,5,,,,,,,,No Preference
51.0,,,,,,,Animal Feed,155.62632066113486,11.0,,,2,,,,,4,,,,,,,,Express
38.0,,,,,,,Jewelry & Accessories,454.4454493300568,9.0,,,1,,,,,5,,,,,,,,Express
17.0,,,,,,,Books,169.708986022832,9.0,,,4,,,,,1,,,,,,,,No Preference
24.0,,,,,,,Sports & Outdoors,439.4874582972021,3.0,,,3,,,,,6,,,,,,,,Express
31.0,,,,,,,Arts & Crafts,315.0855597338888,5.0,,,2,,,,,7,,,,,,,,Express
31.0,,,,,,,Groceries,446.9993079809527,6.0,,,1,,,,,2,,,,,,,,Standard
40.0,,,,,,,Furniture,209.92970731052117,10.0,,,2,,,,,6,,,,,,,,No Preference
34.0,,,,,,,Electronics,32.50651663856008,3.0,,,4,,,,,1,,,,,,,,Express
44.0,,,,,,,Packages),269.03237074707863,12.0,,,2,,,,,5,,,,,,,,Express
45.0,,,,,,,Health Supplements,114.78462698671352,4.0,,,4,,,,,4,,,,,,,,Standard
32.0,,,,,,,Luxury Goods,323.21766579840465,5.0,,,5,,,,,10,,,,,,,,No Preference
44.0,,,,,,,Baby Products,255.04621666935665,2.0,,,2,,,,,3,,,,,,,,Standard
31.0,,,,,,,Packages),193.48022384872388,4.0,,,5,,,,,8,,,,,,,,No Preference
46.0,,,,,,,Software & Apps,72.42452509465413,0.0,,,2,,,,,2,,,,,,,,No Preference
43.0,,,,,,,Hotels,309.7100416002752,4.0,,,4,,,,,7,,,,,,,,Standard
48.0,,,,,,,Animal Feed,226.83578813758476,5.0,,,2,,,,,1,,,,,,,,No Preference
32.0,,,,,,,Sports & Outdoors,318.3219726514227,9.0,,,5,,,,,8,,,,,,,,Standard
42.0,,,,,,,Software & Apps,213.8257737809115,7.0,,,1,,,,,10,,,,,,,,No Preference
36.0,,,,,,,Clothing,72.76401548003693,3.0,,,5,,,,,3,,,,,,,,Standard
36.0,,,,,,,Animal Feed,282.9406763102103,12.0,,,1,,,,,8,,,,,,,,Standard
34.0,,,,,,,Jewelry & Accessories,89.57242358747843,7.0,,,3,,,,,4,,,,,,,,Express
24.0,,,,,,,Electronics,188.8292248639334,5.0,,,1,,,,,3,,,,,,,,No Preference
41.0,,,,,,,Jewelry & Accessories,357.307664670981,5.0,,,2,,,,,9,,,,,,,,Express
38.0,,,,,,,Food & Beverages,255.7163624421573,3.0,,,5,,,,,2,,,,,,,,Express
24.0,,,,,,,Health Care,206.81620611442935,4.0,,,2,,,,,8,,,,,,,,No Preference
48.0,,,,,,,Health Supplements,387.3340886750101,10.0,,,5,,,,,10,,,,,,,,Standard
14.0,,,,,,,Electronics,441.68310538498736,7.0,,,2,,,,,5,,,,,,,,No Preference
41.0,,,,,,,Beauty & Personal Care,246.2720777097104,3.0,,,2,,,,,3,,,,,,,,No Preference
44.0,,,,,,,Toys & Games,397.98199339803864,4.0,,,4,,,,,1,,,,,,,,Express
26.0,,,,,,,Home Appliances,324.2723417117046,8.0,,,1,,,,,7,,,,,,,,Express
24.0,,,,,,,Mobile Accessories,245.80648385127122,5.0,,,5,,,,,5,,,,,,,,Express
39.0,,,,,,,Groceries,465.69903005394576,5.0,,,2,,,,,5,,,,,,,,Express
34.0,,,,,,,Food & Beverages,343.09372081245,6.0,,,3,,,,,6,,,,,,,,No Preference
31.0,,,,,,,Health Supplements,226.41710023648892,5.0,,,1,,,,,5,,,,,,,,No Preference
16.0,,,,,,,Gardening & Outdoors,155.054032796724,5.0,,,4,,,,,8,,,,,,,,Standard
43.0,,,,,,,Arts & Crafts,104.65419463969504,4.0,,,4,,,,,10,,,,,,,,No Preference
44.0,,,,,,,Hotels,372.90178926281,8.0,,,4,,,,,4,,,,,,,,Standard
44.0,,,,,,,Sports & Outdoors,454.25285129770805,6.0,,,1,,,,,6,,,,,,,,Standard
36.0,,,,,,,Home Appliances,238.60158712266048,7.0,,,1,,,,,8,,,,,,,,Express
25.0,,,,,,,Groceries,451.3494489869912,9.0,,,3,,,,,5,,,,,,,,Express
46.0,,,,,,,Electronics,306.44846168870026,5.0,,,1,,,,,4,,,,,,,,Express
32.0,,,,,,,Books,368.69840509871807,9.0,,,3,,,,,10,,,,,,,,No Preference
21.0,,,,,,,Animal Feed,236.19051650146258,6.0,,,5,,,,,5,,,,,,,,Express
30.0,,,,,,,Office Supplies,91.06875593716013,12.0,,,1,,,,,10,,,,,,,,No Preference
39.0,,,,,,,Electronics,135.0849078696273,6.0,,,1,,,,,8,,,,,,,,Express
46.0,,,,,,,Toys & Games,37.40628099745367,13.0,,,1,,,,,7,,,,,,,,Standard
34.0,,,,,,,Sports & Outdoors,314.22527849632695,6.0,,,1,,,,,1,,,,,,,,Express
38.0,,,,,,,Jewelry & Accessories,469.28327410449117,6.0,,,2,,,,,9,,,,,,,,Standard
28.0,,,,,,,Packages),220.1810621476094,10.0,,,5,,,,,3,,,,,,,,No Preference
39.0,,,,,,,Furniture,292.75794617603356,5.0,,,5,,,,,10,,,,,,,,Standard
49.0,,,,,,,Arts & Crafts,256.98272127444056,3.0,,,5,,,,,9,,,,,,,,Standard
19.0,,,,,,,Baby Products,101.40603329744349,10.0,,,1,,,,,5,,,,,,,,No Preference
30.0,,,,,,,Groceries,46.16375556151525,3.0,,,4,,,,,3,,,,,,,,Standard
32.0,,,,,,,Sports & Outdoors,329.59006292350534,2.0,,,2,,,,,7,,,,,,,,Express
31.0,,,,,,,Gardening & Outdoors,410.0936508913526,4.0,,,5,,,,,7,,,,,,,,No Preference
28.0,,,,,,,Clothing,296.0414850768724,3.0,,,3,,,,,1,,,,,,,,Standard
27.0,,,,,,,Health Care,264.9711899904672,5.0,,,3,,,,,3,,,,,,,,Express
39.0,,,,,,,Travel & Leisure (Flights,269.32705015297313,6.0,,,2,,,,,10,,,,,,,,Express
32.0,,,,,,,Electronics,140.35951524266852,3.0,,,3,,,,,7,,,,,,,,No Preference
26.0,,,,,,,Sports & Outdoors,178.02795785183565,4.0,,,4,,,,,4,,,,,,,,Standard
25.0,,,,,,,Home Appliances,400.9571268703246,2.0,,,5,,,,,2,,,,,,,,Standard
29.0,,,,,,,Electronics,325.6381781661785,8.0,,,5,,,,,5,,,,,,,,No Preference
28.0,,,,,,,Arts & Crafts,106.90470003630107,7.0,,,1,,,,,9,,,,,,,,Express
27.0,,,,,,,Gardening & Outdoors,283.91242806906394,2.0,,,2,,,,,3,,,,,,,,No Preference
36.0,,,,,,,Clothing,61.66068235551698,5.0,,,1,,,,,1,,,,,,,,Standard
39.0,,,,,,,Office Supplies,305.67508430467603,11.0,,,5,,,,,5,,,,,,,,Standard
29.0,,,,,,,Toys & Games,285.33430442139525,7.0,,,2,,,,,8,,,,,,,,Express
50.0,,,,,,,Clothing,391.1610669004118,9.0,,,2,,,,,2,,,,,,,,Express
28.0,,,,,,,Hotels,285.2928976016327,5.0,,,5,,,,,1,,,,,,,,Standard
23.0,,,,,,,Jewelry & Accessories,283.7502626590233,6.0,,,1,,,,,5,,,,,,,,Express
42.0,,,,,,,Jewelry & Accessories,207.81170647292484,5.0,,,1,,,,,7,,,,,,,,Express
30.0,,,,,,,Groceries,233.59317038382602,11.0,,,5,,,,,6,,,,,,,,Standard
39.0,,,,,,,Sports & Outdoors,249.7563141103299,10.0,,,5,,,,,8,,,,,,,,Express
36.0,,,,,,,Health Care,155.1212015414441,8.0,,,3,,,,,7,,,,,,,,Standard
42.0,,,,,,,Sports & Outdoors,466.33864151755233,8.0,,,1,,,,,9,,,,,,,,Standard
29.0,,,,,,,Toys & Games,396.6663555131742,9.0,,,4,,,,,2,,,,,,,,No Preference
46.0,,,,,,,Beauty & Personal Care,339.8071920334461,2.0,,,1,,,,,7,,,,,,,,Express
35.0,,,,,,,Furniture,429.10249340797407,11.0,,,3,,,,,5,,,,,,,,Standard
29.0,,,,,,,Health Care,229.18556102592834,8.0,,,5,,,,,5,,,,,,,,Standard
28.0,,,,,,,Gardening & Outdoors,218.42750752609814,11.0,,,3,,,,,1,,,,,,,,Express
43.0,,,,,,,Software & Apps,414.73941182536964,7.0,,,5,,,,,2,,,,,,,,Express
24.0,,,,,,,Home Appliances,256.6527441809794,2.0,,,4,,,,,2,,,,,,,,No Preference
26.0,,,,,,,Mobile Accessories,327.3354868222211,8.0,,,5,,,,,6,,,,,,,,Express
47.0,,,,,,,Electronics,305.40275016923886,8.0,,,1,,,,,5,,,,,,,,No Preference
32.0,,,,,,,Electronics,364.88701121543,11.0,,,4,,,,,5,,,,,,,,No Preference
34.0,,,,,,,Groceries,434.0989978623228,8.0,,,3,,,,,6,,,,,,,,Express
44.0,,,,,,,Sports & Outdoors,210.92707088487072,6.0,,,5,,,,,5,,,,,,,,Standard
17.0,,,,,,,Mobile Accessories,61.01082151005434,4.0,,,4,,,,,2,,,,,,,,Standard
38.0,,,,,,,Gardening & Outdoors,288.98434407482284,5.0,,,1,,,,,4,,,,,,,,No Preference
24.0,,,,,,,Jewelry & Accessories,375.85367854139827,5.0,,,4,,,,,4,,,,,,,,No Preference
43.0,,,,,,,Health Care,364.14701293716473,11.0,,,1,,,,,6,,,,,,,,Standard
48.0,,,,,,,Food & Beverages,249.6928292028313,5.0,,,1,,,,,1,,,,,,,,Express
44.0,,,,,,,Software & Apps,265.337139320364,1.0,,,5,,,,,2,,,,,,,,No Preference
26.0,,,,,,,Home Appliances,316.01862623086333,3.0,,,2,,,,,9,,,,,,,,Express
52.0,,,,,,,Home Appliances,455.04510753777765,2.0,,,3,,,,,3,,,,,,,,Standard
26.0,,,,,,,Home Appliances,277.70161771556286,5.0,,,1,,,,,6,,,,,,,,Standard
33.0,,,,,,,Sports & Outdoors,309.552291355442,6.0,,,5,,,,,5,,,,,,,,Express
46.0,,,,,,,Health Care,407.5379685612347,12.0,,,1,,,,,7,,,,,,,,Express
23.0,,,,,,,Travel & Leisure (Flights,36.35225398123225,6.0,,,5,,,,,5,,,,,,,,Express
45.0,,,,,,,Travel & Leisure (Flights,464.0140837439136,9.0,,,3,,,,,7,,,,,,,,No Preference
42.0,,,,,,,Beauty & Personal Care,80.02886618856694,1.0,,,4,,,,,1,,,,,,,,Express
44.0,,,,,,,Jewelry & Accessories,119.46416054993256,5.0,,,3,,,,,6,,,,,,,,Express
35.0,,,,,,,Home Appliances,249.937127682249,7.0,,,1,,,,,4,,,,,,,,No Preference
36.0,,,,,,,Furniture,274.13323205856045,2.0,,,3,,,,,6,,,,,,,,Standard
27.0,,,,,,,Luxury Goods,379.7508494391327,5.0,,,3,,,,,5,,,,,,,,No Preference
31.0,,,,,,,Travel & Leisure (Flights,248.69952998613007,0.0,,,5,,,,,3,,,,,,,,No Preference
36.0,,,,,,,Health Care,171.90544225609935,9.0,,,5,,,,,9,,,,,,,,Express
35.0,,,,,,,Jewelry & Accessories,152.19652697266753,6.0,,,2,,,,,2,,,,,,,,No Preference
27.0,,,,,,,Packages),208.93996387741214,5.0,,,1,,,,,4,,,,,,,,No Preference
39.0,,,,,,,Office Supplies,260.789559143289,4.0,,,2,,,,,4,,,,,,,,Standard
19.0,,,,,,,Animal Feed,440.2319599849933,7.0,,,1,,,,,4,,,,,,,,No Preference
33.0,,,,,,,Electronics,301.33986322692806,4.0,,,4,,,,,8,,,,,,,,Express
41.0,,,,,,,Health Care,281.80776054693763,2.0,,,2,,,,,3,,,,,,,,No Preference
17.0,,,,,,,Office Supplies,416.7351627198018,7.0,,,5,,,,,6,,,,,,,,Express
33.0,,,,,,,Groceries,144.71516620599442,7.0,,,2,,,,,10,,,,,,,,Express
38.0,,,,,,,Jewelry & Accessories,258.10108046140436,8.0,,,2,,,,,7,,,,,,,,No Preference
27.0,,,,,,,Food & Beverages,73.98516705842255,3.0,,,2,,,,,10,,,,,,,,Standard
26.0,,,,,,,Packages),132.52625083683967,7.0,,,5,,,,,8,,,,,,,,No Preference
29.0,,,,,,,Packages),65.08170465542217,11.0,,,5,,,,,9,,,,,,,,No Preference
32.0,,,,,,,Home Appliances,103.24813765143429,3.0,,,1,,,,,7,,,,,,,,Standard
48.0,,,,,,,Packages),219.80478326725762,4.0,,,1,,,,,10,,,,,,,,No Preference
23.0,,,,,,,Furniture,258.29771673153243,4.0,,,5,,,,,5,,,,,,,,Standard
30.0,,,,,,,Groceries,258.933195107658,7.0,,,4,,,,,9,,,,,,,,No Preference
30.0,,,,,,,Health Care,272.1407565756991,10.0,,,3,,,,,1,,,,,,,,No Preference
32.0,,,,,,,Packages),438.2199383616347,8.0,,,4,,,,,9,,,,,,,,Standard
43.0,,,,,,,Arts & Crafts,353.7785293699305,10.0,,,2,,,,,4,,,,,,,,No Preference
50.0,,,,,,,Baby Products,263.40280187654355,7.0,,,2,,,,,1,,,,,,,,Express
49.0,,,,,,,Clothing,290.41527839531057,3.0,,,1,,,,,5,,,,,,,,Express
30.0,,,,,,,Hotels,234.24964773761894,5.0,,,4,,,,,3,,,,,,,,No Preference
31.0,,,,,,,Health Supplements,489.2439140842546,13.0,,,1,,,,,9,,,,,,,,Standard
21.0,,,,,,,Hotels,123.5026967430122,10.0,,,2,,,,,10,,,,,,,,Standard
24.0,,,,,,,Clothing,219.64123056083133,4.0,,,4,,,,,9,,,,,,,,No Preference
43.0,,,,,,,Toys & Games,238.88935170210206,12.0,,,4,,,,,8,,,,,,,,Express
28.0,,,,,,,Groceries,363.9692960601885,6.0,,,4,,,,,8,,,,,,,,Standard
34.0,,,,,,,Arts & Crafts,188.3647020895237,5.0,,,3,,,,,9,,,,,,,,No Preference
30.0,,,,,,,Electronics,298.26676920210446,9.0,,,2,,,,,1,,,,,,,,Express
26.0,,,,,,,Books,87.49856237228147,12.0,,,2,,,,,9,,,,,,,,Standard
44.0,,,,,,,Sports & Outdoors,402.3531484684622,12.0,,,1,,,,,8,,,,,,,,No Preference
31.0,,,,,,,Arts & Crafts,335.7590624352298,7.0,,,2,,,,,6,,,,,,,,No Preference
39.0,,,,,,,Baby Products,165.9819468262019,4.0,,,4,,,,,4,,,,,,,,Standard
39.0,,,,,,,Jewelry & Accessories,361.4489960433083,5.0,,,3,,,,,8,,,,,,,,No Preference
39.0,,,,,,,Electronics,190.08239662654867,9.0,,,1,,,,,3,,,,,,,,Standard
34.0,,,,,,,Books,527.9548559847887,7.0,,,2,,,,,1,,,,,,,,No Preference
33.0,,,,,,,Home Appliances,281.0746405805194,11.0,,,1,,,,,7,,,,,,,,Standard
34.0,,,,,,,Beauty & Personal Care,272.1377313711772,9.0,,,5,,,,,8,,,,,,,,No Preference
32.0,,,,,,,Sports & Outdoors,278.9289026656347,10.0,,,5,,,,,2,,,,,,,,Express
15.0,,,,,,,Luxury Goods,110.96652230758728,5.0,,,1,,,,,10,,,,,,,,No Preference
31.0,,,,,,,Packages),210.55050341581895,10.0,,,1,,,,,6,,,,,,,,Standard
38.0,,,,,,,Hotels,450.71156880526667,6.0,,,3,,,,,4,,,,,,,,Express
29.0,,,,,,,Travel & Leisure (Flights,186.8508132791377,4.0,,,5,,,,,8,,,,,,,,Standard
32.0,,,,,,,Luxury Goods,120.53792265775998,12.0,,,2,,,,,9,,,,,,,,No Preference
35.0,,,,,,,Furniture,401.3383907445887,10.0,,,3,,,,,3,,,,,,,,No Preference
15.0,,,,,,,Groceries,243.32236440299778,6.0,,,4,,,,,9,,,,,,,,No Preference
38.0,,,,,,,Food & Beverages,381.12737334299504,8.0,,,3,,,,,6,,,,,,,,Standard
33.0,,,,,,,Electronics,210.64912683278385,11.0,,,5,,,,,8,,,,,,,,Standard
35.0,,,,,,,Toys & Games,471.70873731171537,6.0,,,5,,,,,7,,,,,,,,Standard
52.0,,,,,,,Electronics,97.70287985477844,5.0,,,4,,,,,3,,,,,,,,Standard
31.0,,,,,,,Animal Feed,173.80244299873306,4.0,,,1,,,,,8,,,,,,,,No Preference
37.0,,,,,,,Furniture,286.15932209424716,9.0,,,2,,,,,8,,,,,,,,No Preference
46.0,,,,,,,Electronics,356.5651686338317,8.0,,,2,,,,,2,,,,,,,,No Preference
28.0,,,,,,,Electronics,480.55542906711923,11.0,,,2,,,,,7,,,,,,,,No Preference
38.0,,,,,,,Groceries,217.7389233973434,7.0,,,5,,,,,10,,,,,,,,No Preference
31.0,,,,,,,Sports & Outdoors,297.36669470827144,7.0,,,3,,,,,8,,,,,,,,Express
33.0,,,,,,,Sports & Outdoors,211.93940501312375,6.0,,,5,,,,,7,,,,,,,,Standard
41.0,,,,,,,Furniture,141.2959832122304,3.0,,,3,,,,,7,,,,,,,,No Preference
18.0,,,,,,,Office Supplies,322.0968355769604,8.0,,,3,,,,,9,,,,,,,,No Preference
41.0,,,,,,,Clothing,489.1390341958571,7.0,,,1,,,,,6,,,,,,,,No Preference
42.0,,,,,,,Food & Beverages,206.18892116365944,9.0,,,2,,,,,1,,,,,,,,Express
40.0,,,,,,,Home Appliances,108.81473693063194,4.0,,,4,,,,,3,,,,,,,,Standard
38.0,,,,,,,Sports & Outdoors,307.3172388519737,6.0,,,1,,,,,7,,,,,,,,Standard
45.0,,,,,,,Toys & Games,413.9248652784712,9.0,,,3,,,,,1,,,,,,,,Standard
27.0,,,,,,,Sports & Outdoors,208.19015120587977,8.0,,,5,,,,,3,,,,,,,,No Preference
43.0,,,,,,,Electronics,416.1514121272328,5.0,,,1,,,,,1,,,,,,,,No Preference
34.0,,,,,,,Gardening & Outdoors,465.14503456350957,1.0,,,4,,,,,2,,,,,,,,No Preference
18.0,,,,,,,Jewelry & Accessories,379.9019644007627,8.0,,,3,,,,,8,,,,,,,,Express
25.0,,,,,,,Electronics,191.0256856689537,6.0,,,5,,,,,5,,,,,,,,Express
39.0,,,,,,,Animal Feed,226.3223170110229,9.0,,,3,,,,,7,,,,,,,,Express
51.0,,,,,,,Books,310.701883803432,5.0,,,4,,,,,2,,,,,,,,Standard
27.0,,,,,,,Food & Beverages,223.7546891890587,6.0,,,1,,,,,5,,,,,,,,No Preference
42.0,,,,,,,Groceries,372.1856329717716,4.0,,,4,,,,,5,,,,,,,,No Preference
49.0,,,,,,,Office Supplies,170.38712121774606,5.0,,,3,,,,,9,,,,,,,,Express
30.0,,,,,,,Electronics,487.47469396589725,9.0,,,5,,,,,7,,,,,,,,No Preference
32.0,,,,,,,Beauty & Personal Care,164.03264044546603,7.0,,,1,,,,,9,,,,,,,,No Preference
50.0,,,,,,,Home Appliances,388.35214393420335,5.0,,,4,,,,,7,,,,,,,,Express
29.0,,,,,,,Groceries,353.9883073759485,11.0,,,2,,,,,10,,,,,,,,No Preference
24.0,,,,,,,Animal Feed,335.5627691570963,10.0,,,4,,,,,10,,,,,,,,No Preference
39.0,,,,,,,Hotels,89.18742503322255,11.0,,,3,,,,,8,,,,,,,,No Preference
27.0,,,,,,,Clothing,210.7064533709585,4.0,,,3,,,,,1,,,,,,,,No Preference
37.0,,,,,,,Jewelry & Accessories,124.15253418870115,12.0,,,1,,,,,10,,,,,,,,No Preference
31.0,,,,,,,Books,273.3188132343763,5.0,,,5,,,,,6,,,,,,,,Standard
28.0,,,,,,,Furniture,39.26123252642943,5.0,,,3,,,,,1,,,,,,,,Standard
30.0,,,,,,,Beauty & Personal Care,38.00186023740908,2.0,,,2,,,,,2,,,,,,,,No Preference
40.0,,,,,,,Health Supplements,448.24962043296523,6.0,,,1,,,,,5,,,,,,,,Express
19.0,,,,,,,Health Care,270.7527902756268,11.0,,,1,,,,,7,,,,,,,,Standard
33.0,,,,,,,Toys & Games,168.3952443541452,12.0,,,5,,,,,7,,,,,,,,Standard
30.0,,,,,,,Office Supplies,221.20237035915943,4.0,,,5,,,,,9,,,,,,,,No Preference
32.0,,,,,,,Gardening & Outdoors,293.80257492187286,7.0,,,2,,,,,7,,,,,,,,No Preference
35.0,,,,,,,Luxury Goods,51.544368212449314,10.0,,,5,,,,,4,,,,,,,,Express
19.0,,,,,,,Clothing,233.29126927414308,11.0,,,2,,,,,9,,,,,,,,No Preference
36.0,,,,,,,Electronics,463.14749163864406,5.0,,,3,,,,,8,,,,,,,,Standard
29.0,,,,,,,Beauty & Personal Care,402.5160293023225,4.0,,,2,,,,,2,,,,,,,,Express
51.0,,,,,,,Animal Feed,126.30242953894665,11.0,,,1,,,,,4,,,,,,,,Express
42.0,,,,,,,Furniture,432.4658449247063,6.0,,,2,,,,,2,,,,,,,,Standard
42.0,,,,,,,Arts & Crafts,264.92819433522436,10.0,,,2,,,,,6,,,,,,,,Express
30.0,,,,,,,Travel & Leisure (Flights,409.8877985733393,11.0,,,1,,,,,7,,,,,,,,Standard
25.0,,,,,,,Toys & Games,333.3489649087661,9.0,,,5,,,,,8,,,,,,,,Express
23.0,,,,,,,Sports & Outdoors,271.3781672473176,9.0,,,5,,,,,2,,,,,,,,No Preference
39.0,,,,,,,Luxury Goods,173.62740123119568,7.0,,,1,,,,,2,,,,,,,,No Preference
38.0,,,,,,,Office Supplies,410.40141113777975,5.0,,,4,,,,,1,,,,,,,,Standard
30.0,,,,,,,Luxury Goods,426.03520768566295,5.0,,,4,,,,,6,,,,,,,,Standard
25.0,,,,,,,Packages),385.39821216680537,8.0,,,1,,,,,1,,,,,,,,Express
35.0,,,,,,,Furniture,162.5010562763554,9.0,,,4,,,,,1,,,,,,,,Standard
36.0,,,,,,,Software & Apps,501.35381119956537,10.0,,,1,,,,,8,,,,,,,,Standard
19.0,,,,,,,Food & Beverages,340.0330449044177,4.0,,,4,,,,,1,,,,,,,,No Preference
34.0,,,,,,,Food & Beverages,263.7802629935777,7.0,,,1,,,,,4,,,,,,,,Standard
28.0,,,,,,,Office Supplies,59.387006416510616,8.0,,,1,,,,,7,,,,,,,,Standard
46.0,,,,,,,Office Supplies,315.7464691236229,6.0,,,5,,,,,2,,,,,,,,Express
25.0,,,,,,,Luxury Goods,401.4917971711669,3.0,,,1,,,,,8,,,,,,,,Standard
51.0,,,,,,,Luxury Goods,186.860650323625,11.0,,,1,,,,,5,,,,,,,,Standard
28.0,,,,,,,Office Supplies,313.93646754517084,5.0,,,3,,,,,4,,,,,,,,No Preference
15.0,,,,,,,Food & Beverages,376.2318600304038,3.0,,,2,,,,,8,,,,,,,,Express
27.0,,,,,,,Groceries,172.5203983108029,5.0,,,5,,,,,3,,,,,,,,Standard
33.0,,,,,,,Clothing,174.84260845839827,11.0,,,3,,,,,6,,,,,,,,No Preference
22.0,,,,,,,Arts & Crafts,179.54955383902575,9.0,,,1,,,,,5,,,,,,,,Express
42.0,,,,,,,Clothing,348.98589509039016,8.0,,,3,,,,,2,,,,,,,,No Preference
26.0,,,,,,,Electronics,350.6885850001213,10.0,,,3,,,,,3,,,,,,,,No Preference
43.0,,,,,,,Baby Products,482.90736435500844,5.0,,,5,,,,,2,,,,,,,,Standard
32.0,,,,,,,Toys & Games,68.07052616126657,4.0,,,4,,,,,3,,,,,,,,No Preference
37.0,,,,,,,Toys & Games,397.6366002345823,10.0,,,3,,,,,3,,,,,,,,No Preference
37.0,,,,,,,Luxury Goods,207.89260931876865,3.0,,,2,,,,,4,,,,,,,,Standard
31.0,,,,,,,Office Supplies,135.60765576399706,6.0,,,5,,,,,4,,,,,,,,No Preference
21.0,,,,,,,Food & Beverages,267.64950812290977,5.0,,,4,,,,,4,,,,,,,,No Preference
39.0,,,,,,,Mobile Accessories,126.5400968942985,3.0,,,1,,,,,5,,,,,,,,No Preference
42.0,,,,,,,Jewelry & Accessories,453.75912319842814,11.0,,,4,,,,,7,,,,,,,,Express
