customer_id,age,income,plan,monthly_spend,sessions_per_week,churn_risk,satisfaction_score,referrals,region
70,27,39699,free,14.15,2,medium,7.6,1,APAC
71,39,49565,pro,18.53,7,medium,5.5,3,EU
72,53,134035,enterprise,89.49,8,high,6.6,1,US-West
73,34,59644,free,175.9,8,low,8.3,0,US-East
74,53,42982,free,49.14,4,medium,8.2,3,US-East
75,18,80631,enterprise,15.03,5,medium,7.5,0,EU
76,44,20000,free,51.66,1,high,6.1,1,APAC
77,36,56464,pro,109.58,11,low,9.9,0,US-West
78,31,77848,basic,18.0,8,medium,7.1,1,APAC
79,36,20188,free,28.96,4,medium,7.7,2,US-East
80,18,97367,pro,50.42,4,low,5.9,0,US-West
81,32,60059,basic,15.11,9,low,,1,US-East
82,39,38209,basic,63.33,4,low,7.6,3,US-West
83,52,71658,free,29.34,2,medium,9.2,2,US-East
84,28,191456,basic,75.57,4,high,5.1,2,LATAM
85,25,54672,free,13.63,3,medium,7.1,0,US-East
86,28,56893,free,21.38,8,medium,6.9,1,LATAM
87,45,37211,enterprise,68.2,12,medium,6.7,0,US-West
88,38,29439,free,22.81,4,low,7.9,2,LATAM
89,28,80676,basic,279.34,4,low,5.3,2,EU
90,41,29329,free,22.21,5,low,9.4,2,LATAM
91,36,51171,pro,41.46,14,low,6.5,1,US-East
92,46,36805,free,84.15,8,low,8.6,0,EU
93,26,65341,enterprise,8.02,9,medium,5.6,0,LATAM
94,31,59885,basic,5.69,2,low,8.5,2,US-East
95,30,91356,free,10.8,8,low,8.5,1,US-East
96,18,36097,free,117.05,7,low,8.1,0,US-West
97,38,41692,free,19.07,6,low,6.0,0,LATAM
98,38,27248,basic,427.6,5,high,5.9,0,US-West
99,35,37549,free,18.84,3,high,3.7,0,US-West
100,32,61474,pro,39.83,8,medium,7.1,3,US-East
101,18,77202,basic,154.8,3,low,9.0,1,US-East
102,29,28189,free,246.19,3,medium,8.7,0,APAC
103,30,82599,basic,390.31,7,medium,7.5,2,US-East
104,25,110567,pro,166.3,7,medium,6.0,1,EU
105,33,62822,free,92.21,4,low,8.5,3,LATAM
106,39,151157,free,89.84,6,medium,7.5,1,US-East
107,57,30814,free,72.12,6,medium,4.0,1,EU
108,37,23230,pro,19.08,6,medium,8.7,5,US-East
109,38,20000,basic,14.61,4,medium,7.5,1,EU
110,34,120285,basic,49.5,6,low,9.3,1,US-East
111,18,72592,pro,27.93,9,medium,,1,EU
112,34,47412,pro,21.05,9,low,2.7,1,US-West
113,35,57987,basic,66.45,6,medium,7.9,0,US-West
114,64,24951,pro,86.08,6,low,7.9,1,EU
115,32,212660,free,54.27,5,low,5.0,0,US-East
116,38,52972,free,145.12,2,low,6.0,0,EU
117,34,52346,free,10.57,5,medium,10.0,1,US-West
118,20,75770,free,27.29,3,low,7.0,2,EU
119,48,65421,basic,16.17,3,medium,8.6,1,US-East
120,44,56068,enterprise,5.12,8,medium,6.5,1,EU
121,44,30507,free,30.49,11,low,,0,US-East
122,24,65048,free,29.32,7,low,7.2,2,US-West
123,51,151632,basic,225.63,7,low,7.1,0,US-East
124,18,109891,enterprise,93.34,7,high,4.9,3,EU
125,42,127505,free,17.84,1,medium,7.3,3,US-East
126,61,36071,basic,211.47,4,low,7.9,1,APAC
127,23,27071,free,112.28,5,low,7.3,0,APAC
128,28,45457,free,59.27,4,medium,5.6,1,US-East
129,36,50687,enterprise,26.4,7,high,6.2,1,EU
130,28,94515,enterprise,19.04,10,medium,4.6,3,US-East
131,18,20000,free,22.82,6,medium,4.4,1,US-West
132,35,122728,enterprise,147.56,11,low,,0,EU
133,22,44586,basic,218.02,4,low,8.3,2,EU
134,40,37944,pro,154.97,6,low,,0,EU
135,23,26708,basic,20.31,0,low,5.4,0,US-East
136,53,20000,basic,10.81,4,low,6.4,1,US-West
137,25,80330,basic,57.2,1,low,7.1,1,US-East
138,31,51225,basic,5.65,4,low,5.1,1,EU
139,44,22607,free,45.75,3,high,4.4,0,US-West
140,20,22537,free,28.57,5,medium,8.5,3,EU
141,37,40075,free,20.78,6,medium,9.6,1,US-East
142,50,133440,pro,10.08,9,medium,6.9,0,US-West
143,18,41950,free,55.35,4,low,8.6,2,US-West
144,37,20000,basic,19.44,4,medium,4.6,2,US-East
145,38,42300,enterprise,10.28,8,low,8.5,1,US-West
146,44,41621,free,1.87,1,medium,6.3,1,APAC
147,20,20000,basic,32.22,9,low,8.0,2,APAC
148,19,47449,basic,194.85,7,high,,0,US-West
149,41,42678,pro,174.38,8,low,9.5,1,US-West
150,38,74438,free,20.97,4,low,6.2,2,US-East
151,38,148653,basic,27.2,5,high,6.4,0,APAC
152,39,96368,pro,79.38,7,low,7.1,1,US-East
153,26,41717,enterprise,12.2,4,medium,7.3,1,LATAM
154,37,25237,basic,44.78,3,medium,7.2,1,US-West
155,38,229582,basic,106.86,7,medium,6.2,2,US-West
156,26,50793,basic,112.95,6,high,,1,LATAM
157,57,49432,pro,29.96,13,high,5.4,1,US-East
158,40,48316,basic,27.01,4,low,7.9,3,EU
159,20,55207,free,13.76,5,medium,7.6,2,US-West
160,42,44953,enterprise,14.49,9,medium,8.7,1,US-East
161,23,34745,basic,26.4,6,medium,8.9,0,US-West
162,44,35308,basic,47.82,8,low,5.9,0,EU
163,48,48066,free,82.56,4,medium,8.8,0,EU
164,25,35381,basic,14.83,3,high,3.7,1,US-East
165,46,31961,free,147.33,3,high,6.4,0,LATAM
166,39,52253,basic,25.25,9,low,8.4,0,US-East
167,44,42066,free,32.42,7,low,,3,US-East
168,57,120860,basic,23.54,2,low,7.6,1,US-East
169,32,20000,enterprise,2.93,5,medium,6.8,0,US-East
170,25,94362,free,120.24,4,medium,6.4,0,US-East
171,24,103533,enterprise,103.78,9,low,9.5,0,LATAM
172,25,20000,basic,24.99,9,low,6.5,2,US-West
173,34,39910,pro,35.41,14,low,6.3,2,US-East
174,39,39227,pro,55.48,7,low,7.6,0,US-East
175,38,21067,basic,6.94,7,high,6.5,2,EU
176,44,30739,pro,19.51,10,medium,7.3,1,APAC
177,35,25176,pro,73.28,6,low,9.2,2,US-East
178,52,140275,basic,14.18,7,medium,8.3,0,US-East
179,31,85940,free,66.61,5,low,4.2,1,US-East
180,67,105127,basic,12.79,2,high,4.7,2,US-East
181,42,75584,pro,52.8,12,low,,2,US-East
182,24,24898,pro,31.96,9,low,8.2,3,US-West
183,22,35785,pro,6.59,6,low,3.6,2,US-East
184,40,65750,basic,106.14,6,medium,10.0,0,US-West
185,32,23546,pro,15.89,6,medium,8.3,1,US-East
186,43,75191,free,14.73,2,medium,7.7,2,LATAM
187,40,42438,basic,40.47,8,low,9.3,0,LATAM
188,34,39148,free,104.44,4,low,10.0,1,EU
189,24,75100,free,11.99,5,low,8.8,2,US-West
190,18,63994,free,35.22,4,medium,8.9,2,US-West
191,29,39474,free,50.85,3,low,7.7,2,US-West
192,45,98282,basic,99.34,4,medium,7.3,0,EU
193,37,25625,free,39.51,3,high,4.8,2,US-West
194,20,70937,basic,22.94,11,high,4.3,1,APAC
195,37,69972,free,14.47,6,low,6.5,1,LATAM
196,39,40711,free,36.09,5,low,5.5,1,US-West
197,24,59616,free,11.33,5,low,7.4,2,EU
198,36,23140,free,1.78,5,medium,5.0,1,US-East
199,35,85341,basic,76.86,3,medium,7.8,0,US-East
200,21,43873,basic,81.77,6,low,7.4,4,US-West
201,39,35823,basic,3.12,4,low,7.7,1,US-East
202,41,91987,basic,18.09,5,medium,6.7,0,APAC
203,47,32125,free,61.51,3,high,8.0,0,US-East
204,47,21055,pro,259.17,10,low,9.5,1,US-West
205,18,20000,basic,33.81,3,medium,5.6,0,EU
206,23,70516,basic,15.99,6,low,7.8,0,EU
207,41,22736,free,27.58,7,low,6.6,4,US-West
208,41,140487,free,196.44,1,high,4.0,1,APAC
209,41,20000,free,17.36,6,medium,5.5,0,EU
210,80,135655,free,22.34,4,medium,8.1,2,US-West
211,41,55637,basic,20.44,2,low,6.5,1,US-East
212,48,46257,basic,12.76,2,medium,9.0,0,US-West
213,46,35349,basic,37.44,5,low,9.0,0,APAC
214,42,62285,pro,168.12,8,low,9.6,0,EU
215,31,47926,pro,45.74,6,medium,6.2,0,APAC
216,44,95033,pro,38.6,8,low,8.2,1,US-West
217,25,52498,enterprise,24.73,14,medium,8.4,0,US-East
218,32,53647,free,6.94,2,medium,6.8,2,US-East
219,29,39412,free,80.09,6,low,6.3,0,US-West
220,35,47374,free,30.64,5,low,9.9,1,EU
221,62,58963,basic,27.65,3,low,7.8,4,APAC
222,18,20000,pro,806.83,7,low,8.5,1,US-East
223,43,21831,free,44.65,10,medium,6.3,2,US-West
224,18,76569,enterprise,15.61,4,medium,5.7,1,US-West
225,29,54313,free,21.62,8,low,6.6,2,US-West
226,48,43897,enterprise,104.42,6,low,7.3,1,US-East
227,35,49565,free,37.09,5,medium,5.9,1,US-East
228,22,60388,free,7.86,4,medium,7.5,2,US-East
229,26,35459,basic,83.03,11,low,5.0,1,US-East
230,43,30730,free,16.98,3,low,5.8,2,US-East
231,26,55133,free,215.57,4,medium,8.5,0,US-East
232,37,27254,free,97.52,3,low,8.4,0,EU
233,35,62626,pro,21.17,6,low,6.9,2,US-West
234,27,20000,basic,119.23,8,medium,6.0,2,LATAM
235,60,90898,free,53.16,1,medium,6.0,0,US-East
236,42,65092,basic,77.69,5,medium,6.9,1,US-West
237,18,57160,pro,53.77,10,medium,8.5,4,US-West
238,37,88398,free,21.32,3,medium,8.9,1,US-East
239,27,133157,basic,26.1,7,low,6.8,1,APAC
240,45,90095,free,139.12,5,low,5.8,1,US-East
241,25,20000,free,23.69,7,low,7.9,0,LATAM
242,33,22748,basic,22.12,5,low,6.3,1,APAC
243,41,33695,free,12.74,7,medium,6.7,1,US-West
244,45,49794,basic,50.58,5,high,7.5,1,US-West
245,20,66875,pro,260.48,7,high,6.7,2,EU
246,30,31715,free,11.39,5,medium,7.7,1,US-West
247,29,54833,basic,33.93,11,low,5.6,2,EU
248,27,31156,free,135.94,7,low,7.8,1,US-East
249,56,33965,enterprise,30.58,9,medium,9.1,2,US-East
250,39,21078,basic,52.06,3,medium,6.9,0,US-West
251,19,28171,pro,11.45,3,medium,9.5,0,US-West
252,46,21785,basic,50.82,10,medium,9.4,2,APAC
253,60,27295,free,27.46,5,medium,10.0,1,US-East
254,47,92243,basic,133.11,5,medium,8.0,1,APAC
255,18,27732,enterprise,108.57,6,low,8.4,0,US-East
256,29,237858,basic,661.84,4,medium,9.6,1,US-West
257,50,65906,pro,59.12,5,high,6.2,0,US-West
258,26,54770,pro,45.87,5,low,6.7,2,US-West
259,40,29289,free,40.22,7,medium,6.8,0,US-East
260,44,74621,free,23.26,3,low,7.9,0,US-West
261,23,34704,basic,46.45,1,high,3.6,0,APAC
262,34,52744,basic,24.65,3,low,7.3,2,US-West
263,18,227760,pro,58.78,10,medium,9.1,2,US-West
264,22,46275,enterprise,123.67,8,low,4.2,3,APAC
265,31,97690,free,18.15,5,medium,9.8,3,EU
266,20,32147,free,103.53,4,low,9.2,2,US-West
267,54,48002,pro,123.61,8,low,6.8,1,US-East
268,18,141843,free,44.14,5,low,8.3,0,APAC
269,29,33651,pro,3.97,6,high,5.5,2,EU
270,36,145432,basic,27.04,3,low,9.3,2,US-East
271,52,74955,basic,121.15,6,low,9.0,3,US-East
272,18,34979,free,32.37,6,medium,5.4,1,APAC
273,48,71642,basic,12.19,4,medium,8.4,1,US-East
274,35,87862,basic,29.98,9,high,5.2,1,LATAM
275,23,71188,basic,76.76,6,low,,3,US-East
276,40,20000,free,57.21,5,medium,6.4,1,APAC
277,37,31688,pro,26.08,8,low,10.0,1,US-West
278,27,42255,pro,22.95,7,low,9.1,2,US-West
279,35,46879,free,22.38,10,medium,6.4,2,APAC
280,30,71139,free,13.17,6,medium,5.5,1,US-West
281,36,54536,free,166.56,2,medium,6.9,1,US-West
282,42,21999,basic,23.99,4,low,8.2,3,US-East
283,54,61581,basic,111.85,3,low,7.9,2,US-East
284,20,70710,basic,151.61,2,low,9.4,0,US-East
285,60,68588,free,89.87,5,high,6.7,2,EU
286,18,93757,free,32.26,6,low,9.0,1,US-East
287,33,80850,basic,74.39,5,low,8.0,3,US-East
288,42,64570,basic,32.32,10,low,5.4,1,US-West
289,38,46999,enterprise,13.41,8,medium,7.2,2,EU
290,27,20000,free,45.8,5,low,9.1,0,EU
291,32,63434,basic,10.19,4,high,5.4,2,US-East
292,29,55526,basic,108.6,4,low,,2,US-East
293,27,57696,basic,20.81,3,high,5.0,1,LATAM
294,45,22787,pro,40.49,9,low,6.0,0,US-East
295,39,25626,basic,43.96,4,medium,7.3,2,APAC
296,26,92216,enterprise,38.34,5,high,6.0,3,APAC
297,45,47871,free,59.54,9,low,6.5,0,APAC
298,38,73784,free,20.6,5,high,5.1,1,US-East
299,44,49860,pro,79.15,12,low,6.1,1,APAC
300,42,49903,basic,8.62,5,high,7.2,0,APAC
301,25,86074,free,56.37,5,medium,7.1,1,EU
302,28,35967,free,230.2,1,low,9.7,2,US-West
303,43,51931,free,12.18,5,low,9.8,0,US-East
304,42,37146,pro,16.81,11,low,7.4,1,US-East
305,34,37771,free,55.36,6,low,6.0,2,US-West
306,36,40720,free,39.63,2,low,,3,EU
307,50,56009,free,47.02,5,low,5.3,0,US-West
308,27,36781,free,54.01,5,low,5.4,1,US-West
309,41,104136,free,93.7,4,medium,9.6,2,US-West
310,32,28659,basic,100.45,6,low,7.7,2,EU
311,32,43821,free,49.89,5,low,8.1,1,LATAM
312,48,37652,pro,26.02,9,medium,4.2,1,US-East
313,44,116796,free,97.32,5,low,5.7,1,US-West
314,44,55156,basic,221.38,4,low,8.8,2,US-East
315,50,91044,pro,43.5,10,low,7.9,2,EU
316,35,20103,basic,12.5,5,high,5.3,1,EU
317,43,57539,basic,100.19,7,medium,8.3,0,LATAM
318,31,83598,free,44.04,6,low,10.0,2,US-East
319,38,51501,free,3.77,4,medium,7.2,3,LATAM
320,33,92900,basic,115.92,8,medium,7.6,1,US-East
321,36,35940,enterprise,19.39,7,medium,7.8,1,EU
322,42,114188,basic,45.38,3,medium,10.0,0,US-East
323,25,194724,basic,69.22,5,medium,4.4,2,APAC
324,60,39430,pro,40.06,13,low,8.5,0,US-West
325,22,37522,basic,67.32,6,low,7.3,1,EU
326,20,117246,free,32.13,4,low,8.4,1,APAC
327,48,126467,basic,82.98,3,high,4.5,0,US-East
328,44,35820,enterprise,25.55,6,medium,7.4,1,US-East
329,42,38096,free,69.33,5,medium,8.6,1,APAC
330,42,41395,basic,61.27,2,high,8.0,2,US-West
331,34,21880,free,12.99,6,low,8.7,2,US-East
332,24,28248,basic,98.1,2,medium,6.2,0,US-West
333,35,26836,free,19.38,5,medium,6.9,2,EU
334,26,30925,basic,74.3,2,high,4.8,0,US-East
335,46,48011,pro,47.81,9,high,2.8,0,US-East
336,33,56417,free,208.13,3,medium,7.0,1,US-East
337,25,124280,basic,39.72,5,low,8.6,1,US-West
338,31,26929,pro,23.35,5,medium,,0,APAC
339,39,88485,enterprise,48.72,9,low,9.1,3,LATAM
340,28,43114,free,24.45,6,medium,8.2,0,EU
341,25,47587,free,73.7,7,high,4.4,1,US-East
342,37,73489,free,6.58,6,low,7.3,1,LATAM
343,37,24993,enterprise,11.55,9,medium,9.9,1,US-West
344,28,61663,enterprise,11.38,7,low,8.6,1,US-East
345,29,54169,basic,85.65,4,low,7.5,1,LATAM
346,37,65872,pro,183.21,10,low,7.1,1,APAC
347,18,58308,basic,29.83,5,medium,7.6,2,EU
348,18,213882,basic,41.96,5,high,4.7,1,EU
349,26,33434,free,35.52,8,high,,2,US-East
350,32,35646,pro,105.83,7,low,10.0,1,US-East
351,38,33729,free,13.1,2,high,5.7,1,EU
352,52,35126,pro,42.03,6,medium,8.1,1,US-East
353,45,33441,pro,87.81,7,low,7.4,1,US-West
354,33,100048,pro,81.99,9,low,6.4,1,APAC
355,34,114955,free,60.04,9,low,7.2,1,APAC
356,22,34806,free,90.11,3,high,3.1,0,US-West
357,34,29750,free,2.22,5,medium,10.0,0,APAC
358,31,65045,free,65.23,3,medium,5.6,1,APAC
359,38,35195,free,17.22,2,low,6.0,1,EU
360,25,71665,enterprise,5.31,7,medium,6.8,3,US-East
361,41,55367,basic,55.21,9,low,9.4,0,US-East
362,53,20000,free,130.8,4,low,7.5,0,US-West
363,33,124057,free,43.29,5,medium,5.6,0,US-East
364,39,143993,basic,128.8,8,low,9.4,3,US-East
365,43,33939,basic,166.05,8,medium,8.6,2,US-East
366,30,38846,basic,123.34,5,low,8.3,0,US-West
367,37,58192,enterprise,170.71,6,medium,8.6,1,LATAM
368,35,59914,basic,69.56,9,low,10.0,2,US-East
369,36,72774,enterprise,35.71,5,medium,10.0,0,EU
370,25,163754,pro,10.0,11,low,6.5,1,EU
371,35,44083,free,25.89,7,low,9.9,0,US-East
372,40,30364,enterprise,14.25,9,high,6.1,3,LATAM
373,52,21427,free,290.31,9,low,8.2,2,EU
374,46,31616,pro,27.77,6,medium,5.0,2,US-West
375,60,48056,free,37.46,6,high,,1,APAC
376,25,143879,pro,86.22,10,low,6.3,1,US-East
377,45,35933,pro,34.59,10,low,8.7,3,EU
378,37,56065,pro,180.38,8,medium,9.1,1,US-East
379,61,48540,pro,17.77,8,high,2.4,0,APAC
380,25,100011,free,60.34,1,high,5.5,1,US-West
381,24,223274,free,23.64,7,medium,9.2,1,EU
382,27,35649,basic,8.85,4,medium,7.2,1,US-East
383,18,36546,free,17.96,7,low,8.6,3,EU
384,28,91720,basic,47.86,5,high,6.0,0,APAC
385,25,73801,free,21.56,5,high,6.0,1,US-West
386,36,148453,enterprise,24.86,6,low,7.1,1,EU
387,39,69588,basic,8.11,5,low,5.7,0,US-West
388,57,39514,pro,30.47,8,low,5.8,2,APAC
389,46,69870,free,7.35,4,low,8.6,0,US-West
390,28,95341,pro,106.22,6,medium,7.5,0,APAC
391,24,80200,enterprise,53.94,6,low,7.3,2,APAC
392,40,66460,basic,7.71,5,low,6.9,0,US-West
393,19,92967,basic,36.46,10,low,7.0,2,US-East
394,56,98871,pro,23.42,5,high,,1,US-West
395,49,112341,free,68.36,5,medium,7.0,2,APAC
396,29,72346,basic,126.53,3,low,5.5,1,US-East
397,18,44343,free,5.08,4,low,8.6,1,US-West
398,51,53531,free,37.15,6,high,5.2,2,APAC
399,33,101104,free,42.33,3,medium,7.5,1,US-West
400,49,30026,free,64.8,4,low,,0,EU
401,18,61157,free,40.98,4,low,7.5,1,US-East
402,27,38715,free,15.61,5,low,7.9,1,US-East
403,35,49873,enterprise,24.07,11,low,5.7,1,APAC
404,35,105563,basic,22.41,5,medium,7.2,1,US-East
405,29,54976,enterprise,97.13,9,high,6.4,1,US-East
406,42,50405,basic,33.83,3,low,5.2,1,APAC
407,22,21678,free,221.67,4,medium,7.8,1,US-West
408,33,76707,basic,31.17,5,low,7.7,0,LATAM
409,36,72206,basic,16.31,6,medium,7.6,0,LATAM
410,41,179504,free,10.94,7,medium,9.1,1,US-East
411,43,40754,basic,5.46,5,low,8.0,0,US-East
412,21,55909,free,6.79,2,low,9.7,0,EU
413,18,56932,basic,43.26,6,medium,6.0,0,US-West
414,50,126307,basic,82.62,4,low,7.7,1,US-East
415,38,46296,free,6.81,2,low,7.6,0,EU
416,26,57954,free,81.05,4,medium,5.9,1,US-East
417,53,70596,pro,20.43,5,high,6.9,2,APAC
418,36,54828,basic,38.35,3,low,10.0,1,US-East
419,49,37501,free,166.04,4,medium,7.5,1,US-East
420,35,55075,enterprise,81.19,10,low,8.3,0,US-East
421,59,93356,free,37.98,5,medium,7.6,4,LATAM
422,56,26478,basic,13.58,5,medium,6.4,0,EU
423,32,53092,enterprise,3.85,10,high,2.8,0,APAC
424,46,32206,free,16.13,9,low,6.4,1,US-West
425,42,100411,free,40.21,7,medium,5.4,2,US-West
426,51,20000,free,12.34,6,medium,10.0,2,US-East
427,23,35054,free,29.04,6,low,7.3,1,US-West
428,43,61471,free,35.76,9,low,7.0,1,EU
429,47,125406,basic,39.67,2,low,8.8,2,EU
430,18,47124,free,17.29,3,low,5.8,2,US-East
431,20,35132,basic,39.2,9,high,4.3,2,LATAM
432,18,151553,enterprise,77.28,6,low,7.6,0,US-East
433,31,20561,pro,11.13,11,low,9.0,1,LATAM
434,43,20000,basic,135.77,5,medium,8.3,1,US-East
435,53,63831,free,30.01,4,low,7.9,2,US-West
436,35,36270,basic,33.75,9,medium,7.6,1,US-West
437,54,26562,basic,67.24,2,low,8.1,1,US-West
438,18,74982,basic,41.81,5,high,5.8,2,EU
439,18,56742,free,85.9,10,high,4.0,0,US-West
440,34,34945,pro,44.13,8,high,5.6,1,US-West
441,39,22738,basic,17.95,4,low,5.9,3,EU
442,34,82741,free,71.31,7,medium,7.6,0,EU
443,18,72411,free,10.55,3,low,6.8,2,APAC
444,33,46188,basic,36.91,6,low,10.0,1,US-East
445,19,148446,pro,48.04,6,low,7.4,3,EU
446,43,25795,pro,26.89,6,medium,5.4,0,EU
447,39,20000,pro,29.12,7,low,7.3,2,US-West
448,23,32365,free,5.04,1,medium,8.3,0,US-West
449,28,47698,basic,19.13,2,low,10.0,1,US-West
450,22,56726,basic,36.34,4,low,6.6,1,US-East
451,34,42415,free,38.86,5,medium,5.1,2,US-East
452,46,60550,free,11.85,8,low,8.7,2,US-East
453,23,23134,pro,117.41,10,medium,5.4,1,EU
454,41,116571,free,20.9,7,low,6.8,0,EU
455,28,46663,basic,87.31,2,medium,7.1,0,LATAM
456,25,95834,free,76.14,6,medium,7.4,0,EU
457,33,60212,free,17.35,8,low,8.5,2,US-East
458,22,64476,free,195.45,6,low,6.5,1,APAC
459,28,68999,enterprise,10.04,7,medium,7.1,1,APAC
460,20,64127,pro,83.03,7,medium,,0,US-West
461,58,72087,enterprise,90.07,7,low,7.7,0,EU
462,35,108824,basic,25.4,1,low,7.6,2,LATAM
463,26,55155,free,133.28,6,high,6.2,0,US-West
464,37,75011,basic,25.79,8,medium,8.8,1,LATAM
465,33,46451,basic,44.2,7,low,8.1,3,US-East
466,32,116316,pro,64.44,10,low,8.2,2,US-East
467,42,32668,free,28.95,6,low,5.1,1,US-West
468,44,144432,basic,111.75,6,medium,7.6,1,EU
469,28,47853,free,73.22,4,low,8.2,3,APAC
470,28,20775,free,5.76,3,high,6.6,3,LATAM
471,31,52937,pro,122.04,9,low,6.5,0,US-West
472,18,32577,basic,6.28,3,low,6.5,1,US-East
473,18,81176,free,139.5,10,medium,6.6,1,APAC
474,51,33137,free,102.18,5,high,6.3,0,EU
475,54,37507,basic,11.12,6,medium,9.1,1,US-East
476,32,20000,pro,21.96,9,low,6.9,0,US-West
477,41,37369,pro,10.96,7,medium,8.9,3,EU
478,38,20000,enterprise,26.71,9,medium,7.7,1,APAC
479,71,20000,pro,24.34,8,low,7.3,0,US-West
480,48,77361,free,72.22,3,low,7.2,0,US-West
481,33,78549,basic,122.77,2,low,8.6,2,LATAM
482,23,63276,basic,133.71,3,low,8.0,2,EU
483,18,27441,free,18.87,2,high,8.0,0,US-West
484,37,47637,pro,26.86,11,low,6.2,3,US-East
485,25,48914,free,6.15,7,high,6.3,1,EU
486,18,24464,enterprise,14.79,7,medium,6.7,0,US-East
487,27,120817,basic,130.36,3,medium,,1,US-East
488,22,82985,basic,249.9,3,medium,7.5,1,US-West
489,55,42934,basic,9.64,6,low,7.7,2,US-East
490,45,49817,pro,18.31,8,low,10.0,1,EU
491,34,55549,basic,32.25,1,low,7.2,1,US-East
492,52,20000,basic,43.82,8,medium,5.8,0,EU
493,35,42264,free,14.74,9,low,,1,US-East
494,24,32559,basic,50.61,4,medium,4.4,2,US-East
495,53,26877,free,20.62,7,low,7.4,1,US-East
496,41,41412,pro,32.64,6,low,7.5,3,LATAM
497,22,144150,basic,85.77,7,low,8.7,1,APAC
498,32,72006,basic,33.33,5,high,7.0,2,US-East
