Age,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Product_Rating,Customer_Satisfaction,Shipping_Preference
35.0,Furniture,153.75548519639858,13.0,2,1.0,No Preference
25.0,Animal Feed,65.02806897953631,11.0,4,10.0,No Preference
25.0,Packages),400.8302550468591,6.0,1,8.0,No Preference
42.0,Software & Apps,461.6108782631055,3.0,2,3.0,Express
24.0,Travel & Leisure (Flights,262.0519810699017,13.0,4,9.0,No Preference
25.0,Hotels,215.17598714492573,7.0,4,1.0,Standard
28.0,Beauty & Personal Care,279.1795531453205,1.0,3,10.0,No Preference
49.0,Travel & Leisure (Flights,116.21470313047244,6.0,2,1.0,Express
36.0,Food & Beverages,488.1120452201903,3.0,1,2.0,No Preference
50.0,Groceries,353.02925031972006,8.0,2,8.0,Standard
23.0,Software & Apps,354.88628846981453,4.0,5,10.0,Express
48.0,Gardening & Outdoors,156.11041248018515,6.0,1,3.0,No Preference
29.0,Luxury Goods,158.55686886770636,9.0,1,7.0,Express
43.0,Electronics,379.4807208757428,-2.0,1,8.0,Standard
47.0,Arts & Crafts,486.23247779498377,3.0,4,2.0,Standard
48.0,Software & Apps,266.9106047505005,1.0,5,1.0,No Preference
31.0,Health Supplements,389.4290462646858,3.0,5,6.0,Express
28.0,Health Supplements,327.16846384040593,6.0,3,6.0,Express
39.0,Hotels,316.5748532934746,8.0,4,4.0,No Preference
29.0,Health Supplements,285.4151491044873,3.0,1,6.0,No Preference
50.0,Baby Products,214.12424785409428,11.0,5,7.0,Express
30.0,Sports & Outdoors,298.91813652217195,2.0,5,6.0,Standard
24.0,Mobile Accessories,59.608337612542634,6.0,2,5.0,Express
32.0,Home Appliances,280.6135659668515,8.0,1,10.0,Standard
29.0,Office Supplies,174.3085836327055,2.0,1,8.0,Express
39.0,Mobile Accessories,435.36966754427215,10.0,4,9.0,Standard
42.0,Groceries,340.67223272729586,14.0,2,3.0,No Preference
39.0,Electronics,319.31635146267934,3.0,5,1.0,Standard
18.0,Sports & Outdoors,200.0326556612424,6.0,5,3.0,Express
35.0,Office Supplies,494.11096283075784,7.0,1,2.0,No Preference
48.0,Sports & Outdoors,237.54987183900226,5.0,4,7.0,Standard
18.0,Sports & Outdoors,200.18456800275308,8.0,4,10.0,Standard
37.0,Electronics,365.52587744541586,6.0,2,9.0,Standard
33.0,Beauty & Personal Care,489.4924741649248,9.0,2,2.0,Express
48.0,Office Supplies,237.27309018857008,9.0,3,8.0,Express
44.0,Animal Feed,308.7748006826356,3.0,4,8.0,No Preference
32.0,Gardening & Outdoors,412.34785414751036,8.0,5,3.0,Express
38.0,Animal Feed,81.11768851727545,6.0,4,8.0,Express
38.0,Travel & Leisure (Flights,307.4179676045376,10.0,3,8.0,Express
35.0,Health Supplements,301.8268722950362,5.0,1,2.0,Standard
27.0,Jewelry & Accessories,69.92801523444338,7.0,2,10.0,Express
37.0,Jewelry & Accessories,214.55189660909826,-3.0,5,9.0,No Preference
41.0,Sports & Outdoors,240.93811080940534,9.0,1,1.0,No Preference
50.0,Health Supplements,46.07666470233703,3.0,5,8.0,Express
30.0,Travel & Leisure (Flights,419.07055776343356,1.0,1,7.0,No Preference
47.0,Gardening & Outdoors,288.2223063454254,6.0,3,6.0,No Preference
34.0,Electronics,201.83925135840994,9.0,3,4.0,Express
23.0,Sports & Outdoors,310.19887464640885,6.0,1,10.0,Express
28.0,Clothing,489.74038968453846,8.0,1,10.0,No Preference
40.0,Gardening & Outdoors,402.9813267952088,2.0,3,6.0,Express
49.0,Travel & Leisure (Flights,38.121831986199524,3.0,2,5.0,Standard
29.0,Baby Products,344.32844481980214,7.0,5,2.0,Standard
33.0,Animal Feed,263.3911243942552,5.0,1,8.0,Express
20.0,Jewelry & Accessories,378.0137341410284,5.0,4,7.0,Standard
50.0,Home Appliances,168.42998336328708,9.0,1,5.0,No Preference
32.0,Baby Products,415.6230201781463,11.0,1,8.0,No Preference
36.0,Travel & Leisure (Flights,208.58940807262277,8.0,1,9.0,Standard
42.0,Health Supplements,193.552867905263,0.0,4,8.0,Standard
30.0,Mobile Accessories,442.6693617538218,10.0,5,7.0,Express
24.0,Electronics,117.22182643309165,10.0,1,6.0,Express
24.0,Clothing,321.1079247364339,3.0,3,5.0,Standard
50.0,Books,201.28838415432867,12.0,2,2.0,Express
33.0,Gardening & Outdoors,312.4346881752747,2.0,4,2.0,No Preference
20.0,Clothing,247.95415274754401,8.0,3,1.0,No Preference
23.0,Baby Products,165.63026106359132,10.0,3,7.0,Express
42.0,Health Care,283.6008463160505,9.0,4,6.0,No Preference
20.0,Office Supplies,243.36513413636297,11.0,5,1.0,No Preference
36.0,Books,302.0971927183639,14.0,2,7.0,Standard
19.0,Health Supplements,352.06946977226016,9.0,3,9.0,Standard
31.0,Home Appliances,365.88377522667815,4.0,3,7.0,Express
27.0,Food & Beverages,323.8637138906678,10.0,3,1.0,No Preference
48.0,Arts & Crafts,421.90056248329745,6.0,1,8.0,No Preference
50.0,Toys & Games,250.7496081578306,8.0,1,6.0,No Preference
36.0,Animal Feed,321.7433426841634,7.0,5,10.0,Standard
18.0,Software & Apps,180.086730274049,6.0,4,7.0,Standard
20.0,Software & Apps,379.9773910927322,8.0,1,2.0,Standard
41.0,Baby Products,166.3865197868231,13.0,2,9.0,Express
52.0,Beauty & Personal Care,270.76711186240743,9.0,1,1.0,Express
37.0,Toys & Games,356.9960720195619,7.0,2,10.0,No Preference
34.0,Home Appliances,382.0527585383203,13.0,4,3.0,Standard
22.0,Jewelry & Accessories,263.5277632011663,-1.0,1,9.0,Standard
48.0,Hotels,208.59720028505438,-1.0,5,2.0,Express
41.0,Health Supplements,481.01906754137246,9.0,4,1.0,Express
34.0,Gardening & Outdoors,322.053780947855,12.0,2,4.0,No Preference
25.0,Books,277.2140742305759,8.0,2,7.0,Express
22.0,Luxury Goods,234.75565373896313,8.0,3,3.0,Standard
40.0,Luxury Goods,356.27346264484856,7.0,4,1.0,No Preference
41.0,Arts & Crafts,151.3425965106042,5.0,1,6.0,No Preference
36.0,Toys & Games,337.67030383504846,6.0,4,5.0,Standard
33.0,Travel & Leisure (Flights,206.29801345816793,13.0,1,2.0,Standard
45.0,Software & Apps,345.4353560991573,5.0,3,3.0,No Preference
30.0,Luxury Goods,261.1519636573364,7.0,2,1.0,Standard
18.0,Office Supplies,94.29792775391402,5.0,3,2.0,No Preference
34.0,Travel & Leisure (Flights,230.1951697749626,8.0,5,7.0,Standard
19.0,Health Supplements,179.13804596449242,11.0,3,9.0,No Preference
37.0,Jewelry & Accessories,388.2703442024616,9.0,5,9.0,No Preference
27.0,Mobile Accessories,251.4062528062096,5.0,3,6.0,Standard
19.0,Clothing,245.11973117655134,11.0,4,2.0,No Preference
41.0,Beauty & Personal Care,334.6834953667093,6.0,4,10.0,Standard
28.0,Electronics,389.1261689567862,4.0,1,6.0,No Preference
41.0,Jewelry & Accessories,303.53968579955006,6.0,3,7.0,Standard
45.0,Home Appliances,128.75804542013375,2.0,5,9.0,No Preference
40.0,Office Supplies,283.89439910145995,4.0,4,8.0,Standard
47.0,Books,309.79106028877743,7.0,3,3.0,Express
42.0,Toys & Games,267.8533293469196,12.0,4,4.0,No Preference
25.0,Furniture,320.6284060273672,9.0,5,8.0,Standard
20.0,Luxury Goods,228.4502642510657,11.0,1,7.0,No Preference
47.0,Office Supplies,272.58602610804166,3.0,4,3.0,Standard
46.0,Mobile Accessories,400.3093480055619,3.0,3,6.0,No Preference
23.0,Health Care,313.5419651267299,8.0,2,1.0,Standard
32.0,Furniture,316.7870679283059,3.0,1,2.0,Standard
20.0,Food & Beverages,233.17524577196104,9.0,3,6.0,Express
34.0,Health Care,149.55904557480133,-1.0,1,2.0,Standard
27.0,Groceries,370.7612444179257,10.0,5,9.0,Standard
48.0,Hotels,190.55671608342251,1.0,4,9.0,Standard
42.0,Health Supplements,326.9566415408229,7.0,1,8.0,Express
16.0,Travel & Leisure (Flights,159.27411028844887,6.0,5,9.0,Express
42.0,Jewelry & Accessories,373.7037948709358,4.0,3,1.0,No Preference
39.0,Software & Apps,308.1593948220666,10.0,2,3.0,Express
39.0,Electronics,268.27979645911535,4.0,4,2.0,Standard
37.0,Toys & Games,343.01799455912214,7.0,1,2.0,Express
39.0,Office Supplies,439.3555112125995,9.0,2,3.0,Express
28.0,Clothing,370.86112956730244,2.0,3,8.0,No Preference
22.0,Sports & Outdoors,313.6465287450658,7.0,3,6.0,Standard
23.0,Packages),240.9191104591898,5.0,1,6.0,No Preference
28.0,Books,404.7283075459069,10.0,2,1.0,No Preference
37.0,Jewelry & Accessories,216.82986750930948,-1.0,1,5.0,No Preference
53.0,Health Care,340.8445021420958,4.0,1,6.0,Express
41.0,Office Supplies,275.97838642046247,5.0,5,3.0,No Preference
39.0,Baby Products,201.8158941298946,6.0,5,3.0,No Preference
39.0,Jewelry & Accessories,223.2564682041522,6.0,1,6.0,Express
48.0,Animal Feed,197.95912627394367,3.0,4,2.0,No Preference
15.0,Travel & Leisure (Flights,242.58540929857068,4.0,5,1.0,No Preference
39.0,Health Care,308.2788801770487,2.0,2,6.0,No Preference
19.0,Electronics,284.83624996096125,5.0,5,2.0,Standard
30.0,,67.85111603607288,7.0,1,9.0,Standard
51.0,Electronics,277.31395101467973,3.0,1,2.0,No Preference
34.0,Office Supplies,130.6811645217069,10.0,3,7.0,Express
39.0,Jewelry & Accessories,68.46812710276953,3.0,1,3.0,Express
39.0,Beauty & Personal Care,222.30211535834567,6.0,5,2.0,No Preference
20.0,Animal Feed,324.29203195200756,6.0,1,6.0,No Preference
20.0,Food & Beverages,235.8344922509927,9.0,3,7.0,Standard
30.0,Home Appliances,466.0019113768061,6.0,3,8.0,Standard
40.0,Food & Beverages,259.1926497227127,8.0,1,3.0,No Preference
29.0,Hotels,253.28024360552996,9.0,4,7.0,No Preference
27.0,Clothing,150.08523231546914,3.0,3,5.0,Express
48.0,Animal Feed,329.99189126233307,8.0,5,10.0,No Preference
24.0,Software & Apps,352.7030787126963,5.0,1,7.0,Standard
35.0,Office Supplies,186.28954773450943,9.0,4,9.0,Express
27.0,Hotels,185.97198864672606,6.0,5,3.0,Standard
18.0,Baby Products,356.41557124865426,11.0,4,3.0,No Preference
26.0,Packages),203.36055299043213,5.0,4,8.0,Standard
40.0,Packages),276.38340225568686,9.0,2,9.0,No Preference
50.0,Groceries,211.15464455498903,2.0,3,10.0,Express
45.0,Electronics,458.7643879105957,6.0,4,9.0,Standard
25.0,Baby Products,277.2547240704339,5.0,2,9.0,Express
41.0,Animal Feed,127.05235613286922,6.0,5,9.0,Express
24.0,Books,294.9277299731247,6.0,1,5.0,Express
35.0,Sports & Outdoors,281.6358503326534,3.0,5,2.0,Express
44.0,Health Care,278.7939317389687,1.0,3,7.0,Standard
50.0,Furniture,305.8064289993828,7.0,2,9.0,No Preference
51.0,Health Supplements,477.26363154695775,5.0,2,4.0,Standard
38.0,Sports & Outdoors,165.69009095552542,5.0,3,1.0,Standard
35.0,Health Care,312.2967787117259,9.0,2,5.0,Express
43.0,Health Care,315.4076729665203,2.0,3,8.0,No Preference
27.0,Health Care,227.21018137735743,7.0,2,9.0,Express
48.0,Baby Products,159.80927315847887,7.0,3,8.0,Express
46.0,Groceries,227.12985889940424,9.0,1,2.0,Express
33.0,Books,318.2723077206738,6.0,5,1.0,Express
41.0,Gardening & Outdoors,78.55514958293979,6.0,1,5.0,No Preference
37.0,Books,344.43483505131076,10.0,5,8.0,No Preference
30.0,Furniture,411.13583915581347,5.0,1,9.0,No Preference
49.0,Sports & Outdoors,363.8416806850134,4.0,1,6.0,No Preference
39.0,Sports & Outdoors,261.7280072337494,7.0,1,8.0,Standard
32.0,Food & Beverages,244.98439383228458,11.0,5,8.0,Express
31.0,Travel & Leisure (Flights,353.6335422765454,5.0,5,9.0,Express
50.0,Groceries,181.51195549188742,4.0,1,2.0,Standard
47.0,Travel & Leisure (Flights,207.92635339378606,12.0,3,9.0,No Preference
44.0,Mobile Accessories,260.7446021474765,2.0,4,10.0,No Preference
35.0,Software & Apps,300.1475254973148,10.0,1,7.0,No Preference
49.0,Home Appliances,189.58884688738215,10.0,2,4.0,No Preference
46.0,Food & Beverages,398.48451075097967,7.0,1,1.0,Standard
17.0,Software & Apps,290.0667730353058,3.0,4,9.0,No Preference
30.0,Sports & Outdoors,407.20042346482614,8.0,4,9.0,No Preference
47.0,Toys & Games,347.70149851773203,2.0,4,7.0,No Preference
20.0,Baby Products,302.9740714211978,6.0,3,5.0,Standard
24.0,Office Supplies,81.76652619092002,3.0,5,1.0,Standard
34.0,Clothing,353.8677283117004,7.0,4,1.0,Standard
50.0,Beauty & Personal Care,139.15980997681203,7.0,5,5.0,Standard
34.0,Health Supplements,357.1459736712121,5.0,4,6.0,Express
50.0,Packages),327.99703395479503,5.0,2,2.0,No Preference
35.0,Health Supplements,236.1413345079722,6.0,5,7.0,Standard
18.0,Travel & Leisure (Flights,254.46097185315716,7.0,5,5.0,Express
36.0,Home Appliances,410.4913897345367,7.0,1,6.0,Standard
36.0,Packages),315.52435049185044,7.0,5,6.0,Express
39.0,Luxury Goods,53.70455508485702,3.0,5,7.0,Standard
19.0,Animal Feed,418.2351920617556,8.0,2,10.0,Standard
35.0,Health Care,395.2385382907451,9.0,2,,No Preference
24.0,Health Care,276.3487651399895,4.0,3,9.0,Standard
20.0,Jewelry & Accessories,205.28760516267928,4.0,3,7.0,No Preference
33.0,Animal Feed,110.44353208436483,12.0,2,10.0,No Preference
34.0,Food & Beverages,282.2445685681124,6.0,5,5.0,Standard
28.0,Electronics,303.9581057369071,4.0,2,10.0,Standard
25.0,Electronics,311.7304770447514,11.0,3,1.0,No Preference
44.0,Luxury Goods,384.6694095829429,4.0,2,6.0,Standard
17.0,Gardening & Outdoors,428.6337694621046,11.0,1,7.0,Standard
48.0,Mobile Accessories,239.27552645441733,4.0,4,4.0,No Preference
24.0,Food & Beverages,81.89339267195506,6.0,3,3.0,Standard
52.0,Beauty & Personal Care,246.71518020347315,10.0,2,3.0,Express
48.0,Gardening & Outdoors,221.39633638422555,11.0,3,4.0,Standard
49.0,Software & Apps,278.94398726818565,2.0,5,1.0,Standard
40.0,Hotels,248.99457602308578,3.0,4,9.0,No Preference
49.0,Luxury Goods,423.3314894989504,6.0,4,8.0,Standard
23.0,Jewelry & Accessories,157.51623820508794,6.0,2,7.0,Express
27.0,Books,244.98960408200557,8.0,5,2.0,Standard
42.0,Software & Apps,457.5927639758105,2.0,5,9.0,No Preference
31.0,Furniture,332.25862426541335,7.0,3,7.0,Standard
49.0,Home Appliances,317.4345243283418,11.0,5,7.0,Express
39.0,Sports & Outdoors,405.55599619599184,5.0,3,7.0,No Preference
33.0,Office Supplies,401.22291814568496,13.0,4,2.0,Express
43.0,Furniture,241.13394959433643,11.0,3,3.0,Express
19.0,Software & Apps,124.94096745388129,9.0,1,1.0,No Preference
34.0,Office Supplies,346.4049740144262,7.0,3,6.0,Express
39.0,Travel & Leisure (Flights,165.1158452928975,9.0,3,3.0,No Preference
48.0,Jewelry & Accessories,428.0300780897728,9.0,5,8.0,Express
38.0,Baby Products,315.85531916868547,0.0,5,5.0,Standard
27.0,Home Appliances,254.7383540344828,9.0,4,2.0,Standard
28.0,Office Supplies,370.6583870306363,7.0,2,4.0,Standard
33.0,Health Supplements,294.58039319901366,5.0,3,9.0,Express
30.0,Beauty & Personal Care,51.90477572143682,7.0,1,9.0,No Preference
29.0,Sports & Outdoors,209.07097745726188,6.0,1,9.0,Standard
40.0,Sports & Outdoors,306.75402985163237,9.0,5,6.0,No Preference
39.0,Gardening & Outdoors,240.13506397843793,6.0,2,1.0,No Preference
36.0,Gardening & Outdoors,329.60475639994524,11.0,3,7.0,No Preference
49.0,Toys & Games,243.248924033577,5.0,4,10.0,Standard
43.0,Arts & Crafts,371.77366127342356,9.0,1,6.0,No Preference
32.0,Toys & Games,162.89400937682447,2.0,5,1.0,No Preference
36.0,Gardening & Outdoors,301.93375185019084,3.0,1,4.0,No Preference
33.0,Travel & Leisure (Flights,319.3292624294548,3.0,1,3.0,No Preference
47.0,Software & Apps,251.9169998227139,8.0,5,4.0,Standard
27.0,Travel & Leisure (Flights,133.89188761333324,5.0,1,2.0,Express
31.0,Sports & Outdoors,247.50389355172646,6.0,4,10.0,No Preference
40.0,Furniture,224.54838988790885,7.0,1,9.0,Express
21.0,Electronics,288.8317666151083,6.0,1,2.0,Express
48.0,Sports & Outdoors,172.02614716414604,-2.0,5,8.0,Standard
43.0,Arts & Crafts,290.66656606728463,2.0,2,7.0,Standard
19.0,Home Appliances,446.33771560271094,12.0,2,8.0,Express
17.0,Mobile Accessories,224.52539326713554,13.0,4,6.0,No Preference
30.0,Packages),232.5535724176321,3.0,5,8.0,Standard
22.0,Animal Feed,74.1833745493118,11.0,2,7.0,Standard
19.0,Arts & Crafts,276.45751218431155,7.0,3,4.0,Standard
19.0,Electronics,161.04986517890805,11.0,4,4.0,Express
39.0,Health Supplements,204.2053016414359,10.0,4,2.0,No Preference
50.0,Beauty & Personal Care,288.2306965573622,2.0,5,6.0,Standard
33.0,Health Care,310.3631201075243,5.0,1,2.0,Standard
46.0,Beauty & Personal Care,77.85131053830364,-1.0,5,8.0,Standard
36.0,Electronics,209.48390625565398,5.0,4,5.0,No Preference
22.0,Packages),291.9690304621,6.0,2,10.0,Standard
41.0,Gardening & Outdoors,270.4788239259704,7.0,1,1.0,Express
48.0,Office Supplies,147.72538182814375,8.0,4,4.0,Standard
22.0,Clothing,166.58336611526474,3.0,1,1.0,Express
42.0,Gardening & Outdoors,252.25406769832577,5.0,1,9.0,Standard
22.0,Health Supplements,233.03912866772376,3.0,5,7.0,No Preference
39.0,Jewelry & Accessories,177.4164371380377,7.0,5,6.0,No Preference
20.0,Health Care,194.28874494901055,11.0,3,4.0,No Preference
28.0,Software & Apps,149.80359200284536,5.0,5,1.0,Standard
31.0,Clothing,177.68358223305526,4.0,2,6.0,No Preference
51.0,Baby Products,259.50950016577167,2.0,3,7.0,Express
